LAT_TRIM,LON_TRIM,Zip Code,crime_count
40.5617,-74.1601,10308,1
40.5617,-74.1571,10308,2
40.5618,-74.1052,10306,1
40.5619,-74.1178,10306,1
40.5619,-73.9141,11697,1
40.562,-74.1203,10306,1
40.562,-74.1149,10306,2
40.562,-74.1119,10306,4
40.562,-74.1034,10306,2
40.5621,-74.1852,10312,1
40.5621,-74.1774,10312,1
40.5621,-74.1133,10306,4
40.5622,-73.9113,11697,1
40.5623,-74.1472,10308,1
40.5623,-74.1168,10306,3
40.5624,-74.1808,10312,1
40.5625,-74.1259,10306,1
40.5626,-74.1156,10306,2
40.5626,-74.1115,10306,1
40.5626,-74.1039,10306,2
40.5627,-74.187,10312,2
40.5627,-74.1818,10312,1
40.5627,-74.1465,10308,2
40.5628,-74.1554,10308,1
40.5628,-73.9157,11697,2
40.5629,-73.9112,11697,1
40.563,-74.1547,10308,1
40.5631,-74.1566,10308,2
40.5631,-74.1397,10306,1
40.5631,-74.1209,10306,1
40.5631,-74.1101,10306,1
40.5631,-73.8989,11697,1
40.5633,-74.1169,10306,1
40.5633,-74.1082,10306,2
40.5634,-74.1412,10306,1
40.5634,-74.1292,10306,1
40.5634,-74.1108,10306,3
40.5635,-74.1697,10312,2
40.5637,-74.1853,10312,1
40.5637,-74.1476,10308,1
40.5637,-74.1208,10306,1
40.5639,-74.1083,10306,2
40.564,-74.1408,10306,1
40.564,-74.1322,10306,1
40.5641,-74.1873,10312,1
40.5641,-74.1821,10312,1
40.5641,-74.1284,10306,1
40.5642,-74.1264,10306,1
40.5642,-74.1168,10306,1
40.5643,-74.1421,10306,1
40.5643,-74.1057,10306,1
40.5644,-74.1433,10306,1
40.5644,-74.1267,10306,1
40.5644,-74.116,10306,1
40.5645,-74.1795,10312,1
40.5645,-74.1317,10306,1
40.5646,-74.1372,10306,2
40.5646,-74.1223,10306,1
40.5646,-74.1015,10306,2
40.5647,-74.1549,10308,1
40.5647,-74.1272,10306,2
40.5647,-74.1087,10306,2
40.5647,-74.1064,10306,2
40.5648,-74.1414,10306,2
40.5648,-74.1264,10306,1
40.5649,-74.1287,10306,5
40.5649,-73.8934,11697,1
40.565,-74.1006,10306,1
40.5651,-74.1844,10312,2
40.5651,-74.141,10306,1
40.5651,-74.1095,10306,3
40.5652,-74.1397,10306,1
40.5652,-74.115,10306,13
40.5654,-74.1188,10306,1
40.5654,-74.1119,10306,5
40.5655,-74.1824,10312,1
40.5655,-74.1344,10306,1
40.5655,-74.1298,10306,2
40.5655,-74.1279,10306,1
40.5656,-74.1529,10308,1
40.5658,-74.1401,10306,6
40.5658,-74.1004,10306,1
40.566,-74.1505,10308,2
40.566,-73.8886,11697,1
40.5663,-73.8905,11697,1
40.5664,-74.1247,10306,1
40.5664,-74.1153,10306,1
40.5664,-74.1085,10306,5
40.5665,-74.1138,10306,1
40.5667,-73.893,11697,1
40.5669,-74.1328,10306,1
40.5669,-74.1067,10306,2
40.5669,-74.1055,10306,1
40.567,-74.1383,10306,1
40.567,-74.1148,10306,1
40.567,-74.1131,10306,7
40.5672,-74.1294,10306,1
40.5672,-74.1079,10306,1
40.5673,-74.1275,10306,1
40.5673,-73.8904,11697,1
40.5674,-74.1203,10306,1
40.5675,-74.1213,10306,1
40.5675,-74.119,10306,1
40.5676,-74.1337,10306,1
40.5676,-74.1328,10306,1
40.5676,-74.1126,10306,2
40.5678,-74.1383,10306,3
40.5678,-74.1161,10306,1
40.5679,-74.1124,10306,4
40.5679,-74.1047,10306,1
40.56800000000001,-74.1298,10306,1
40.56800000000001,-74.1198,10306,1
40.5681,-74.135,10306,1
40.5682,-74.1275,10306,1
40.5682,-74.1071,10306,1
40.5684,-74.1329,10306,1
40.5685,-74.1118,10306,1
40.5687,-74.1298,10306,1
40.5688,-74.1066,10306,2
40.5689,-74.092,10306,1
40.569,-74.1374,10306,1
40.569,-74.1236,10306,2
40.5691,-74.1429,10306,1
40.5693,-74.0941,10306,1
40.5694,-74.1296,10306,4
40.5694,-73.8641,11694,3
